time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.latitude,.longitude,.fix_style,.altitude,.utm_easting,.utm_northing,.Zone,.fields
2020/02/26/14:32:12.345198,177,1582745532,343713045,,42.3418769836,-71.0942382812,1.0,-1.48599994183,327487.84375,4689859.5,19,T
2020/02/26/14:32:13.763117,178,1582745533,762748003,,42.3418731689,-71.0942382812,1.0,-3.33800005913,327488.0625,4689859.0,19,T
2020/02/26/14:32:15.180513,179,1582745535,179127931,,42.3418731689,-71.0942382812,1.0,-3.63700008392,327488.0,4689859.5,19,T
2020/02/26/14:32:17.307676,180,1582745537,305497884,,42.3418807983,-71.0942459106,1.0,-3.3599998951,327487.65625,4689860.0,19,T
2020/02/26/14:32:18.731657,181,1582745538,728375911,,42.3418769836,-71.0942459106,1.0,-4.82399988174,327487.09375,4689859.5,19,T
2020/02/26/14:32:20.854789,182,1582745540,852839946,,42.3418884277,-71.09425354,1.0,-4.55800008774,327486.8125,4689861.0,19,T
2020/02/26/14:32:23.683895,183,1582745543,683057069,,42.3419151306,-71.0942611694,1.0,-4.3029999733,327485.96875,4689864.0,19,T
2020/02/26/14:32:25.104591,184,1582745545,104098081,,42.3419494629,-71.0942687988,5.0,0.768999993801,327485.71875,4689868.0,19,T
2020/02/26/14:32:27.932919,185,1582745547,932598114,,42.3419303894,-71.0942687988,1.0,-6.74599981308,327485.625,4689865.5,19,T
2020/02/26/14:32:31.821489,186,1582745551,820976972,,42.3419761658,-71.0942764282,1.0,-6.43699979782,327485.28125,4689870.5,19,T
